iter	Passed	Remaining
508	2304	2222
509	2308	2217
510	2311	2211
511	2314	2205
512	2317	2200
513	2321	2195
514	2327	2191
515	2332	2187
516	2337	2183
517	2415	2247
518	2445	2266
519	2498	2306
520	2544	2338
521	2589	2371
522	2635	2403
523	2650	2407
524	2680	2425
525	2685	2419
526	2690	2414
527	2696	2410
528	2701	2405
529	2711	2404
530	2717	2399
531	2720	2393
532	2726	2388
533	2729	2382
534	2734	2376
535	2749	2380
536	2755	2376
537	2761	2371
538	2767	2366
539	2771	2360
540	2779	2358
541	2784	2353
542	2792	2350
543	2796	2344
544	2802	2339
545	2819	2344
546	2827	2341
547	2835	2338
548	2842	2335
549	2847	2329
550	2866	2335
551	2873	2332
552	2881	2328
553	2889	2325
554	2893	2319
555	2897	2313
556	2903	2309
557	2908	2304
558	2914	2299
559	2924	2298
560	2929	2292
561	2937	2289
562	2941	2282
563	2944	2276
564	2951	2272
565	2955	2266
566	2959	2259
567	2968	2257
568	2973	2251
569	2978	2246
570	2983	2241
571	2988	2236
572	2992	2229
573	3008	2232
574	3017	2230
575	3020	2223
576	3025	2217
577	3031	2213
578	3034	2206
579	3038	2200
580	3041	2193
581	3049	2190
582	3052	2183
583	3056	2176
584	3063	2173
585	3069	2168
586	3080	2167
587	3084	2161
588	3087	2154
589	3092	2149
590	3096	2143
591	3102	2138
592	3113	2137
593	3118	2131
594	3121	2124
595	3126	2119
596	3131	2114
597	3136	2108
598	3142	2103
599	3146	2097
600	3150	2091
601	3155	2086
602	3159	2080
603	3163	2073
604	3167	2067
605	3171	2061
606	3174	2055
607	3177	2048
608	3181	2042
609	3189	2039
610	3194	2033
611	3198	2028
612	3206	2024
613	3210	2018
614	3214	2012
615	3221	2008
616	3226	2002
617	3229	1996
618	3237	1992
619	3241	1986
620	3244	1980
621	3248	1973
622	3252	1968
623	3256	1962
624	3259	1955
625	3273	1955
626	3277	1949
627	3280	1943
628	3284	1937
629	3289	1931
630	3294	1926
631	3301	1922
632	3305	1916
633	3310	1910
634	3317	1907
635	3322	1901
636	3327	1896
637	3334	1891
638	3338	1885
639	3343	1880
640	3352	1877
641	3356	1871
642	3360	1865
643	3364	1859
644	3368	1853
645	3372	1847
646	3375	1841
647	3385	1838
648	3390	1833
649	3396	1828
650	3400	1823
651	3404	1817
652	3409	1812
653	3414	1806
654	3418	1800
655	3422	1794
656	3430	1790
657	3433	1784
658	3437	1778
659	3442	1773
660	3447	1768
661	3451	1762
662	3454	1755
663	3459	1750
664	3463	1744
665	3466	1738
666	3470	1732
667	3474	1726
668	3477	1720
669	3480	1714
670	3484	1708
671	3487	1702
672	3491	1696
673	3494	1690
674	3498	1684
675	3501	1678
676	3506	1672
677	3509	1666
678	3512	1660
679	3516	1654
680	3520	1649
681	3529	1645
682	3539	1642
683	3547	1638
684	3567	1640
685	3577	1637
686	3587	1634
687	3596	1630
688	3604	1626
689	3610	1622
690	3620	1619
691	3629	1615
692	3638	1612
693	3647	1608
694	3659	1605
695	3671	1603
696	3684	1601
697	3695	1598
698	3703	1594
699	3712	1590
700	3723	1588
701	3731	1583
702	3740	1580
703	3750	1576
704	3758	1572
705	3762	1566
706	3766	1560
707	3769	1554
708	3773	1548
709	3776	1542
710	3781	1537
711	3827	1548
712	3830	1542
713	3834	1535
714	3837	1529
715	3840	1523
716	3844	1517
717	3847	1511
718	3852	1505
719	3856	1499
720	3862	1494
721	3866	1488
722	3871	1483
723	3875	1477
724	3879	1471
725	3884	1466
726	3889	1460
727	3894	1454
728	3898	1449
729	3903	1443
730	3908	1438
731	3912	1432
732	3917	1426
733	3922	1421
734	3927	1415
735	3932	1410
736	3937	1405
737	3942	1399
738	3946	1393
739	3950	1388
740	3954	1382
741	3959	1376
742	3964	1371
743	3970	1366
744	3974	1360
745	3979	1355
746	3984	1349
747	3988	1343
748	3993	1338
749	3998	1332
750	4003	1327
751	4007	1321
752	4011	1315
753	4016	1310
754	4020	1304
755	4023	1298
756	4026	1292
757	4032	1287
758	4036	1281
759	4040	1275
760	4044	1270
761	4048	1264
762	4052	1258
763	4055	1252
764	4059	1246
765	4062	1241
766	4067	1235
767	4072	1230
768	4078	1225
769	4084	1220
770	4090	1214
771	4095	1209
772	4100	1204
773	4105	1198
774	4111	1193
775	4117	1188
776	4122	1183
777	4126	1177
778	4131	1172
779	4137	1166
780	4143	1161
781	4149	1156
782	4154	1151
783	4159	1145
784	4163	1140
785	4169	1135
786	4175	1130
787	4181	1124
788	4186	1119
789	4191	1114
790	4197	1109
791	4203	1103
792	4268	1114
793	4323	1121
794	4352	1122
795	4381	1122
796	4432	1128
797	4478	1133
798	4508	1134
799	4544	1136
800	4570	1135
801	4615	1139
802	4644	1139
803	4675	1139
804	4718	1142
805	4750	1143
806	4770	1140
807	4842	1150
808	4881	1152
809	4919	1153
810	4952	1154
811	4962	1148
812	4992	1148
813	5006	1143
814	5072	1151
815	5081	1145
816	5086	1139
817	5091	1132
818	5098	1126
819	5102	1120
820	5106	1113
821	5110	1106
822	5115	1100
823	5119	1093
824	5122	1086
825	5127	1080
826	5136	1074
827	5139	1067
828	5143	1060
829	5149	1054
830	5153	1047
831	5156	1041
832	5162	1034
833	5165	1028
834	5169	1021
835	5172	1014
836	5182	1009
837	5185	1002
838	5189	995
839	5194	989
840	5208	984
841	5232	981
842	5286	984
843	5293	978
844	5300	972
845	5308	966
846	5314	959
847	5323	954
848	5346	950
849	5354	944
850	5362	938
851	5370	932
852	5415	933
853	5423	927
854	5431	921
855	5446	916
856	5462	911
857	5470	905
858	5477	899
859	5485	893
860	5539	894
861	5548	888
862	5557	882
863	5601	881
864	5617	876
865	5669	877
866	5700	874
867	5810	883
868	5863	883
869	5903	882
870	5958	882
871	6018	883
872	6061	881
873	6111	881
874	6122	874
875	6127	867
876	6131	859
877	6136	852
878	6140	845
879	6144	837
880	6148	830
881	6152	823
882	6156	815
883	6159	808
884	6163	800
885	6168	793
886	6173	786
887	6176	779
888	6184	772
889	6188	764
890	6192	757
891	6197	750
892	6202	743
893	6206	735
894	6210	728
895	6216	721
896	6221	714
897	6233	708
898	6238	700
899	6244	693
900	6250	686
901	6255	679
902	6269	673
903	6273	666
904	6278	659
905	6282	651
906	6286	644
907	6290	637
908	6296	630
909	6300	623
910	6303	615
911	6310	608
912	6353	605
913	6390	601
914	6437	598
915	6469	593
916	6521	590
917	6526	582
918	6529	575
919	6533	568
920	6537	560
921	6547	553
922	6552	546
923	6562	539
924	6587	534
925	6596	527
926	6606	520
927	6612	513
928	6616	505
929	6620	498
930	6624	491
931	6629	483
932	6634	476
933	6639	469
934	6644	461
935	6650	454
936	6659	447
937	6665	440
938	6671	433
939	6676	426
940	6681	418
941	6688	411
942	6693	404
943	6698	397
944	6707	390
945	6713	383
946	6718	376
947	6722	368
948	6726	361
949	6736	354
950	6740	347
951	6745	340
952	6750	332
953	6754	325
954	6760	318
955	6767	311
956	6772	304
957	6777	297
958	6783	290
959	6789	282
960	6795	275
961	6799	268
962	6803	261
963	6809	254
964	6817	247
965	6823	240
966	6829	233
967	6834	225
968	6840	218
969	6849	211
970	6854	204
971	6858	197
972	6862	190
973	6866	183
974	6872	176
975	6879	169
976	6883	162
977	6887	154
978	6899	147
979	6904	140
980	6911	133
981	6916	126
982	6921	119
983	6927	112
984	6933	105
985	6938	98
986	6943	91
987	6948	84
988	6958	77
989	6963	70
990	6968	63
991	6975	56
992	6980	49
993	6985	42
994	6990	35
995	6994	28
996	6999	21
997	7009	14
998	7014	7
999	7019	0
