iter	Logloss
119	0.3327174956
120	0.331695895
121	0.3306234421
122	0.3299821423
123	0.3291090381
124	0.3284482033
125	0.3280156659
126	0.3272175327
127	0.326493817
128	0.3256321569
129	0.3248360849
130	0.3242055216
131	0.3238067012
132	0.3232156692
133	0.3227477535
134	0.3220627077
135	0.3210830073
136	0.3203153303
137	0.3194332123
138	0.3189366248
139	0.3182697604
140	0.3177450242
141	0.3170242617
142	0.3164049272
143	0.3159450408
144	0.315413998
145	0.3146794842
146	0.3141833275
147	0.3135695304
148	0.313053531
149	0.3121597844
150	0.3117620407
151	0.311086347
152	0.3105295858
153	0.3099573197
154	0.3095644674
155	0.30908923
156	0.3087726716
157	0.3083256752
158	0.3080334202
159	0.307288539
160	0.3067561119
161	0.3060441171
162	0.3056695384
163	0.3050756762
164	0.3045611228
165	0.3040038078
166	0.3035883442
167	0.3031996142
168	0.3025930466
169	0.3020942442
170	0.3018473964
171	0.3013804036
172	0.3010282824
173	0.3005197894
174	0.2998653227
175	0.2993372333
176	0.298903496
177	0.298483664
178	0.29806174
179	0.297721309
180	0.2974456664
181	0.2968949349
182	0.2964024082
183	0.2961177211
184	0.2957532944
185	0.2951080568
186	0.2945892272
187	0.294146384
188	0.2935537523
189	0.2930667323
190	0.2927350998
191	0.2923867626
192	0.2918387998
193	0.2914597911
194	0.2911986074
195	0.2907601633
196	0.2906088675
197	0.2901036662
198	0.289631136
199	0.2893228531
200	0.2886846912
201	0.2882711041
202	0.2879596833
203	0.287432486
204	0.2867956161
205	0.2863390215
206	0.285889041
207	0.2854969886
208	0.2851629872
209	0.2847822251
210	0.2844528075
211	0.284201499
212	0.2838565765
213	0.283556046
214	0.2832672673
215	0.282877799
216	0.2824994979
217	0.2820829268
218	0.281677523
219	0.2813519816
220	0.2809107381
221	0.2805993788
222	0.2803341958
223	0.2799434047
224	0.2795869766
225	0.2791056787
226	0.2788649528
227	0.2784226633
228	0.2781984883
229	0.2777551528
230	0.2774957226
231	0.277288037
232	0.277039251
233	0.2768176294
234	0.2765495546
235	0.2763337781
236	0.2758938574
237	0.2754769479
238	0.2752427747
239	0.2747493252
240	0.2744517788
241	0.2741388506
242	0.273780915
243	0.2735364053
244	0.2729627548
245	0.2726063267
246	0.2723444047
247	0.2718316663
248	0.2714379834
249	0.271266968
250	0.2709846189
251	0.2704704961
252	0.2702490899
253	0.2699608034
254	0.2695952077
255	0.269495841
256	0.2690890528
257	0.2689196679
258	0.2686152612
259	0.2684206193
260	0.268113044
261	0.2677703365
262	0.2673960963
263	0.2670739697
264	0.2667241866
265	0.2662748521
266	0.2658878142
267	0.265576578
268	0.2652740479
269	0.2649357396
270	0.2646626811
271	0.264280873
272	0.2641487122
273	0.2639431492
274	0.2636892565
275	0.2632005138
276	0.2629606185
277	0.2626971583
278	0.2623503285
279	0.2620786851
280	0.2617193037
281	0.2613836719
282	0.2611181505
283	0.2608372473
284	0.2605956908
285	0.2602366786
286	0.2599819245
287	0.2596675504
288	0.2593593597
289	0.2589949946
290	0.258725074
291	0.2585741474
292	0.2582821077
293	0.2580453042
294	0.257769154
295	0.257545948
296	0.2573091445
297	0.2570524216
298	0.2570127826
299	0.2567079144
300	0.2565424519
301	0.2561645508
302	0.2559406834
303	0.255633508
304	0.255401396
305	0.2551529638
306	0.2550425837
307	0.2548121945
308	0.2545136944
309	0.2543829795
310	0.2541772627
311	0.2538354166
312	0.2536013357
313	0.2533966341
314	0.2532410006
315	0.2529785556
316	0.2527222018
317	0.2524620333
318	0.252271806
319	0.2519485412
320	0.2517115993
321	0.2514821637
322	0.2512830919
323	0.2510325832
324	0.2506808773
325	0.2505195218
326	0.2503022532
327	0.2500743251
328	0.2498662702
329	0.2495005361
330	0.2491710263
331	0.2489456669
332	0.2485873161
333	0.2483481592
334	0.2480219564
335	0.2477764314
336	0.2476106921
337	0.2473939926
338	0.247196659
339	0.2470483165
340	0.246858443
341	0.2466533569
342	0.2463203553
343	0.2460149181
344	0.2459018461
345	0.2457129417
346	0.2454419136
347	0.2451107887
348	0.2448587418
349	0.2446470261
350	0.244352556
351	0.244083143
352	0.243992744
353	0.2437514797
354	0.2434087569
355	0.2431486653
356	0.2430062448
357	0.2427962211
358	0.2426377881
359	0.2423918016
360	0.2420767815
361	0.2419913507
362	0.2417891102
363	0.2416318617
364	0.2415117756
365	0.2413809684
366	0.2412776332
367	0.2410501203
368	0.2408354975
369	0.2406598522
370	0.240426525
371	0.2402132711
372	0.2399969101
373	0.2398517363
374	0.2397154531
375	0.2395995048
376	0.2394467323
377	0.2392517828
378	0.239075753
379	0.2388435794
380	0.2385683367
381	0.2382322742
382	0.2379781815
383	0.2378341152
384	0.2375409834
385	0.2373832272
386	0.2371360717
387	0.2369951587
388	0.236706949
389	0.2364279532
390	0.2361548024
391	0.2359939544
392	0.2356336348
393	0.2353565462
394	0.2351338786
395	0.2348928144
396	0.2347223836
397	0.2344208994
398	0.2341632074
399	0.2339635511
400	0.2337578189
401	0.2334461981
402	0.2332934257
403	0.2331264711
404	0.2329303988
405	0.2327984225
406	0.2326969639
407	0.2324273202
408	0.2322805774
409	0.2320069344
410	0.2318619144
411	0.2316574897
412	0.2314075039
413	0.2312456254
414	0.2309381885
415	0.2307641275
416	0.230523294
417	0.2303374506
418	0.2302271781
419	0.2300531326
420	0.2298637821
421	0.2296252404
422	0.229513476
423	0.2293077592
424	0.2291094411
425	0.2289335189
426	0.2287714404
427	0.2285867353
428	0.228451252
429	0.2282549489
430	0.2281042376
431	0.2278966904
432	0.2277569617
433	0.2276890355
434	0.2274723207
435	0.2273595564
436	0.2271249217
437	0.2270044665
438	0.2268167157
439	0.2266311646
440	0.2263926229
441	0.2261594957
442	0.2260273041
443	0.2257642438
444	0.2255371155
445	0.2254013246
446	0.2251609987
447	0.2250431122
448	0.2248629908
449	0.2246410616
450	0.2243812623
451	0.2242746353
452	0.2240620582
453	0.2238925811
454	0.2237213812
455	0.2234516759
456	0.2232224864
457	0.2229533657
458	0.2227476643
459	0.2226162726
460	0.2224593009
461	0.2221725525
462	0.2219973072
463	0.2217878834
464	0.2216518002
465	0.2214660337
466	0.2213300736
467	0.2211741171
468	0.2209827208
469	0.2208021533
470	0.2206333837
471	0.2203727999
472	0.2200652707
473	0.2198466793
474	0.2197618792
475	0.2195230607
476	0.2193019159
477	0.2191501894
478	0.2190087995
479	0.2188118042
480	0.2187228049
481	0.2184486082
482	0.2182990966
483	0.2180735065
484	0.2180500338
485	0.21784041
486	0.2175663979
487	0.2172218138
488	0.216970536
489	0.2168000898
490	0.2165883126
491	0.2164083142
492	0.2163635992
493	0.2162688163
494	0.2161724644
495	0.2159756384
496	0.2157218072
497	0.2154468721
498	0.2152558296
499	0.2151373279
500	0.2149097996
501	0.2147961586
502	0.2145697686
503	0.2143891242
504	0.2142006197
505	0.2140064547
506	0.2136928651
507	0.2135071601
508	0.2133879508
509	0.2131403646
510	0.2128728436
511	0.2127416672
512	0.2125198149
513	0.2124061584
514	0.2122201304
515	0.2119177541
516	0.2118053436
517	0.211654094
518	0.2114864319
519	0.2113679763
520	0.2112236023
521	0.2110985787
522	0.2109154732
523	0.2106298016
524	0.2104690306
525	0.2101797288
526	0.2099894554
527	0.2097927217
528	0.209504066
529	0.2093282207
530	0.2091548212
531	0.2090441796
532	0.2089249857
533	0.2087147774
534	0.2085402858
535	0.2082366943
536	0.2081948403
537	0.2079615747
538	0.2078307982
539	0.2077128503
540	0.2075340209
541	0.2072147554
542	0.207021221
543	0.2066612551
544	0.2064338192
545	0.2062990589
546	0.2060924653
547	0.2059958058
548	0.2058769349
549	0.2057092267
550	0.2055495324
551	0.2054680547
552	0.2053986519
553	0.2052777506
554	0.2049776508
555	0.2047641508
556	0.2045125346
557	0.2043191233
558	0.2042179108
559	0.2041326492
560	0.2040069642
561	0.2038847093
562	0.2036887446
563	0.2035121456
564	0.2032820794
565	0.2031060342
566	0.2030066982
567	0.2028126563
568	0.2026707126
569	0.2025123104
570	0.2022175635
571	0.2020948779
572	0.2019047276
573	0.2018208658
574	0.2017437412
575	0.2015919993
576	0.2014612998
577	0.2012134367
578	0.200954468
579	0.2007716702
580	0.200703221
581	0.2005594315
582	0.2004483131
583	0.2003555913
584	0.2001102509
585	0.1998283632
586	0.1996563173
587	0.1993946568
588	0.1992672951
589	0.1990788675
590	0.1988731354
591	0.1987700001
592	0.1986953212
593	0.1983736407
594	0.1982784579
595	0.1980965061
596	0.1979526704
597	0.1977598744
598	0.1975221634
599	0.1973607463
600	0.1971872853
601	0.1970888569
602	0.1969751543
603	0.1966345695
604	0.1965503077
605	0.1963643412
606	0.1962174908
607	0.1960974663
608	0.1959137455
609	0.1958340214
610	0.1957359314
611	0.1956181988
612	0.1954485832
613	0.1952285459
614	0.1950363959
615	0.1948874535
616	0.1946659396
617	0.194581001
618	0.1944017564
619	0.1942322946
620	0.1940317462
621	0.1937893744
622	0.193680671
623	0.1935114399
624	0.1933272885
625	0.1931820531
626	0.1930327262
627	0.1929709681
628	0.1928328237
629	0.1926696993
630	0.1925506899
631	0.1923432658
632	0.192245668
633	0.1921197061
634	0.1919045141
635	0.1918018403
636	0.1915597608
637	0.1914476272
638	0.1913336323
639	0.1912369267
640	0.1910481299
641	0.1909613455
642	0.1908266621
643	0.1905899971
644	0.1903348431
645	0.1901176514
646	0.1898643124
647	0.1897346281
648	0.1896306776
649	0.1894689375
650	0.1893590804
651	0.1892238125
652	0.1890356771
653	0.1889547533
654	0.188794013
655	0.1885916187
656	0.1884861915
657	0.1883530463
658	0.18824725
659	0.1879732993
660	0.187918217
661	0.1877438638
662	0.1875852
663	0.1874478863
664	0.1873309843
665	0.18715014
666	0.187040452
667	0.1868356889
668	0.1867817294
669	0.1866591361
670	0.1864675399
671	0.1862550397
672	0.1861641792
673	0.186068381
674	0.1859351743
675	0.1858872906
676	0.1857605596
677	0.185641781
678	0.1854730114
679	0.185358109
680	0.185184971
681	0.1850288453
682	0.1849147427
683	0.1847622779
684	0.1846277483
685	0.184410126
686	0.1841782908
687	0.1840495294
688	0.1838559181
689	0.1836659831
690	0.1834406699
691	0.1833591154
692	0.1832328612
693	0.1829177026
694	0.1826989728
695	0.1825065305
696	0.1824318363
697	0.1821780051
698	0.1820081588
699	0.1818734754
700	0.1817503283
701	0.1816172754
702	0.1814484135
703	0.1813660283
704	0.181170925
705	0.1811530975
706	0.1810527309
707	0.1809801902
708	0.1809220775
709	0.1807251899
710	0.1804765271
711	0.1803523648
712	0.1802360627
713	0.1801425565
714	0.1800412824
715	0.1798448101
716	0.1797019436
717	0.1795430953
718	0.1794057354
719	0.1791993726
720	0.1791292775
721	0.1790796095
722	0.1789010109
723	0.1787375173
724	0.178623261
725	0.1784495231
726	0.1782368998
727	0.1780772055
728	0.1780045417
729	0.1778674587
730	0.1776747088
731	0.1776230412
732	0.1775415636
733	0.1774540563
734	0.1772441556
735	0.1771033349
736	0.1769638369
737	0.1767632423
738	0.1766610915
739	0.1765510805
740	0.1763928475
741	0.1761664114
742	0.1760972392
743	0.1758464383
744	0.1757449181
745	0.1756072813
746	0.1754719673
747	0.1752580212
748	0.175100465
749	0.1750036055
750	0.1749288036
751	0.174814978
752	0.1747028905
753	0.1745019113
754	0.1742675535
755	0.1741561428
756	0.1739588091
757	0.1738414918
758	0.1737322192
759	0.1735740938
760	0.17338602
761	0.173240154
762	0.1731462171
763	0.1730013355
764	0.1728477017
765	0.172835873
766	0.1726938217
767	0.172502733
768	0.1723552981
769	0.1722450564
770	0.1722150464
771	0.1720851775
772	0.1719747974
773	0.1719018259
774	0.1718042128
775	0.1716631305
776	0.1715950812
777	0.1714131601
778	0.1713091327
779	0.1711160291
780	0.1709755467
781	0.1708532456
782	0.1707983632
783	0.1706014449
784	0.1704655617
785	0.1703608421
786	0.1701852583
787	0.1700546818
788	0.1699722352
789	0.1696985768
790	0.1695841205
791	0.1694097827
792	0.1693049246
793	0.1691433076
794	0.1690195145
795	0.1688521447
796	0.1687295206
797	0.1685952371
798	0.1685482763
799	0.1683891512
800	0.1682484227
801	0.1681419649
802	0.1680410293
803	0.1678627999
804	0.1677530196
805	0.1675478105
806	0.1674203257
807	0.1672273913
808	0.1670706657
809	0.1669342595
810	0.1668560889
811	0.1667700121
812	0.1666490493
813	0.1665116895
814	0.1663736989
815	0.166193839
816	0.1661008558
817	0.1660321143
818	0.1659022916
819	0.165743028
820	0.1656813468
821	0.1655293895
822	0.1654389289
823	0.1652601611
824	0.1651198479
825	0.1649114701
826	0.1648054431
827	0.1645848213
828	0.1644352328
829	0.1642983344
830	0.1641422702
831	0.1639790535
832	0.1638194822
833	0.1636909669
834	0.1635729267
835	0.1634169394
836	0.1632949921
837	0.1632518614
838	0.163135867
839	0.1630368848
840	0.1629449168
841	0.1627986969
842	0.1626900396
843	0.162516917
844	0.1624305787
845	0.1623110771
846	0.1621492909
847	0.1620541849
848	0.1618927525
849	0.1617526393
850	0.161644428
851	0.1616172944
852	0.1614501399
853	0.1613849363
854	0.1612465305
855	0.161113739
856	0.1610397216
857	0.1608492328
858	0.1607961347
859	0.1606902769
860	0.1604606875
861	0.1603494613
862	0.1601847372
863	0.1600902619
864	0.159973929
865	0.1598900826
866	0.1598314162
867	0.1596450344
868	0.1595689712
869	0.1594333033
870	0.1593158014
871	0.1591967767
872	0.1590626932
873	0.1589309477
874	0.1589120588
875	0.158782759
876	0.1586425843
877	0.1585498933
878	0.1584674005
879	0.158361035
880	0.1582537313
881	0.1580662112
882	0.1579679981
883	0.157938788
884	0.157842913
885	0.1577304256
886	0.1576107548
887	0.1574162053
888	0.1573034717
889	0.157212888
890	0.157088695
891	0.1569822065
892	0.1568617667
893	0.1567527402
894	0.1566509585
895	0.1565008471
896	0.1563728086
897	0.1563106045
898	0.1562483234
899	0.156093259
900	0.1560008141
901	0.1558227231
902	0.1557302167
903	0.1556367874
904	0.1555349904
905	0.1554370696
906	0.1553848636
907	0.1552212315
908	0.1550958387
909	0.1550315426
910	0.1548870917
911	0.1547478553
912	0.1546534569
913	0.1545367395
914	0.1544859179
915	0.1544761042
916	0.1544125465
917	0.1543605558
918	0.1542154128
919	0.1541181995
920	0.1540182637
921	0.1538950859
922	0.1538177152
923	0.1537174102
924	0.1535685755
925	0.1533934378
926	0.1533090838
927	0.1532845036
928	0.1531650174
929	0.1530669274
930	0.1529190463
931	0.1527737341
932	0.1525967198
933	0.1524550684
934	0.1523884496
935	0.1522929438
936	0.1521814715
937	0.1521574759
938	0.1520844736
939	0.1519570812
940	0.1518441477
941	0.1517623163
942	0.1516445837
943	0.1516322167
944	0.1515334652
945	0.1514899808
946	0.1513075521
947	0.151300861
948	0.1512025249
949	0.1511242774
950	0.1509550156
951	0.1508154561
952	0.1506919707
953	0.1506121543
954	0.1504859309
955	0.1503159308
956	0.1503087936
957	0.1501993672
958	0.1501601896
959	0.1500653913
960	0.1500371656
961	0.1499784993
962	0.1498656581
963	0.1497870568
964	0.1496992265
965	0.1495803402
966	0.149526473
967	0.1494416729
968	0.1493684092
969	0.1493507508
970	0.1492575061
971	0.1492462466
972	0.1491210845
973	0.149053266
974	0.148981202
975	0.1489049696
976	0.1488811431
977	0.1487934359
978	0.1486280195
979	0.1486152218
980	0.148433793
981	0.1482968177
982	0.1481690868
983	0.1480238822
984	0.1479490188
985	0.1478955515
986	0.1477495009
987	0.147571133
988	0.1475051142
989	0.1474664596
990	0.1473184555
991	0.1471004486
992	0.1470248007
993	0.1469025766
994	0.1468730434
995	0.1468023023
996	0.1467028126
997	0.1466592819
998	0.1465148926
999	0.1464313999
