latitude,longitude,acq_date,fire_occurred,temperature,humidity,wind_speed,precipitation,elevation,vpd
29.5806,80.4809,2020-01-24,0,5.57,43.36,1.63,0.0,1694.0,0.514
28.3834,87.7473,2021-04-19,0,-2.97,54.33,3.87,1.06,4519.0,0.224
26.95,88.5406,2024-01-08,0,12.14,76.48,0.72,0.0,671.0,0.333
28.2234,86.7469,2023-12-23,0,-5.1,62.26,1.62,0.0,6185.0,0.158
28.3869,87.1947,2023-01-23,0,-9.67,28.7,3.96,0.0,5253.0,0.209
26.6378,89.291,2017-08-24,0,28.05,88.23,0.79,2.36,90.0,0.446
30.314,85.5571,2014-09-28,0,0.56,50.33,1.74,0.38,5106.0,0.316
27.234,88.0195,2013-01-10,0,7.34,42.83,1.03,0.0,3457.0,0.586
29.1356,81.8001,2014-04-02,0,11.25,45.91,1.88,0.01,1997.0,0.722
27.7187,87.4939,2018-11-13,0,6.04,89.63,1.56,0.01,4257.0,0.097
29.1821,86.1588,2023-07-10,0,9.38,66.68,1.65,0.7,4797.0,0.392
27.713,84.2296,2019-01-29,0,14.29,50.04,1.56,0.02,597.0,0.814
30.3647,83.5119,2018-05-18,0,-2.48,64.78,3.16,0.86,4768.0,0.179
30.4062,83.3691,2023-10-24,0,-7.35,64.82,2.69,0.39,4712.0,0.124
29.0586,85.828,2022-10-30,0,-2.32,60.47,1.8,0.0,4969.0,0.204
28.6471,80.1882,2019-01-25,0,14.71,69.7,1.36,11.2,206.0,0.507
27.4479,87.0867,2024-08-20,0,14.18,91.02,1.77,0.87,1570.0,0.145
29.0042,86.616,2021-11-06,0,-4.13,47.67,2.82,0.0,5065.0,0.235
28.1308,86.5945,2013-11-09,0,-9.91,52.58,2.29,0.0,5646.0,0.136
28.0996,89.1616,2013-01-30,0,-8.95,63.6,0.97,0.0,4860.0,0.113
29.8669,81.0582,2019-01-05,0,-9.53,88.02,2.24,0.0,5106.0,0.036
26.9379,84.3344,2021-11-18,0,,,,,83.0,
29.3498,87.8776,2014-02-20,0,-8.26,43.11,4.37,0.0,3939.0,0.186
27.7792,83.0434,2015-06-10,0,30.37,31.99,2.23,1.35,428.0,2.948
29.5296,87.2388,2013-06-30,0,10.09,61.19,2.68,0.65,5474.0,0.479
28.0541,88.1928,2024-03-23,0,-6.35,81.07,2.27,5.68,5121.0,0.072
27.1031,87.0981,2016-10-11,0,22.35,87.31,1.34,7.1,559.0,0.343
26.5341,87.5391,2019-10-01,0,24.04,87.52,1.45,0.95,84.0,0.373
30.0561,82.9548,2015-10-18,0,-2.99,71.5,2.38,0.0,4663.0,0.14
29.6347,83.6779,2018-01-16,0,-11.87,37.81,3.02,0.0,4833.0,0.153
30.3704,81.2736,2018-10-06,0,-3.24,65.12,2.63,0.0,5681.0,0.168
30.1015,87.6459,2017-11-19,0,-9.01,42.23,4.48,0.0,4714.0,0.178
27.581,89.2961,2015-01-27,0,0.03,74.2,1.49,0.0,2749.0,0.158
26.3479,88.0615,2022-10-05,0,25.07,87.51,1.03,21.63,64.0,0.397
27.7463,80.2789,2012-02-03,0,15.16,40.93,1.52,0.0,146.0,1.018
27.875,83.7205,2018-01-26,0,10.56,54.1,1.56,0.0,843.0,0.585
28.841,84.9375,2019-03-10,0,-17.06,91.09,2.04,0.31,5232.0,0.014
29.4614,80.5719,2019-04-04,0,17.34,45.3,1.8,0.0,1551.0,1.083
29.4093,82.2179,2021-04-01,0,-3.71,45.32,3.14,0.08,3523.0,0.254
29.0305,82.4161,2020-08-01,0,13.85,88.93,1.56,0.42,3560.0,0.175
28.4376,89.2578,2019-07-24,0,6.33,74.37,1.96,5.77,4961.0,0.245
28.6788,86.7167,2021-02-02,0,-11.53,36.56,2.27,0.0,4619.0,0.16
27.463,87.1161,2017-05-18,0,13.02,65.33,2.37,0.77,719.0,0.52
27.347,84.9648,2015-02-04,0,16.58,49.37,2.0,0.55,632.0,0.955
26.9955,80.9661,2012-04-17,0,30.18,28.41,2.54,0.0,124.0,3.069
26.5512,82.8655,2019-10-31,0,22.4,88.79,1.37,0.0,81.0,0.304
26.6952,84.6666,2024-06-08,0,37.06,29.57,2.58,0.08,74.0,4.434
29.7642,85.8904,2021-12-28,0,-16.81,79.1,4.27,0.0,5936.0,0.034
29.0078,89.0097,2019-01-14,0,-10.67,42.47,3.22,0.0,5016.0,0.156
27.6406,82.7394,2019-03-15,0,24.69,40.78,1.84,0.01,138.0,1.842
30.2289,82.6768,2022-09-14,0,4.08,83.57,3.22,4.64,4922.0,0.134
29.3007,84.0193,2024-10-11,0,-2.01,65.36,2.89,0.06,4829.0,0.183
27.3581,83.1895,2013-11-13,0,20.55,60.19,1.07,0.0,89.0,0.963
30.4223,84.2688,2018-06-14,0,2.48,67.79,2.26,0.51,5843.0,0.235
29.1492,85.5459,2018-04-14,0,-3.66,52.89,3.19,0.09,4988.0,0.22
27.3622,87.1591,2017-01-21,0,4.36,45.29,1.56,0.0,788.0,0.456
26.8496,80.3498,2018-08-14,0,28.42,85.36,0.63,13.38,133.0,0.567
30.1323,87.6551,2020-01-07,0,-14.2,76.5,3.31,0.0,4866.0,0.048
28.3762,85.424,2015-02-01,0,-14.33,74.76,1.56,0.0,3815.0,0.051
30.261,84.5397,2013-01-04,0,-18.53,62.42,9.29,0.0,5077.0,0.053
29.8016,86.3661,2014-12-14,0,-10.09,81.67,6.44,3.12,5238.0,0.052
26.7594,84.3199,2018-05-22,0,33.16,44.0,2.37,0.67,78.0,2.842
28.1476,83.051,2013-04-02,0,21.98,34.88,2.19,0.01,1569.0,1.72
29.2446,86.1355,2020-02-17,0,-9.51,58.59,3.59,0.0,5197.0,0.123
27.7073,83.3846,2022-03-06,0,21.35,53.86,1.47,0.0,205.0,1.172
26.6164,81.5982,2022-08-02,0,29.25,82.53,1.74,11.9,110.0,0.71
27.5476,82.4401,2019-09-26,0,24.78,92.61,4.32,18.76,120.0,0.231
28.594,82.7305,2023-06-14,0,22.62,58.25,3.15,2.16,3125.0,1.146
27.2284,83.0641,2023-06-24,0,36.26,45.54,2.07,0.58,84.0,3.282
29.3779,85.5128,2020-01-07,0,-15.33,87.76,3.56,0.04,4935.0,0.023
30.3381,89.4463,2015-12-28,0,-7.71,42.96,5.17,0.0,5170.0,0.195
27.7287,83.7327,2018-04-24,0,30.44,20.58,1.42,0.0,821.0,3.456
26.9266,89.1857,2017-07-11,0,18.07,89.76,0.5,11.5,1464.0,0.212
27.0014,85.8936,2020-02-23,0,20.42,56.64,1.04,1.78,253.0,1.041
28.1854,83.5533,2020-09-17,0,22.32,94.77,1.8,8.21,2186.0,0.141
28.5247,88.1901,2015-07-07,0,7.54,70.59,3.63,6.21,4610.0,0.306
28.979,81.6369,2016-05-11,0,17.01,60.39,1.64,1.68,1593.0,0.768
29.0609,84.3144,2019-12-30,0,-20.57,85.6,1.61,0.0,5245.0,0.017
29.9337,83.23,2021-10-16,0,-0.9,64.73,2.13,0.0,4829.0,0.202
27.2825,86.3741,2017-04-29,0,16.24,46.81,2.25,3.06,1876.0,0.982
27.7099,89.3915,2024-08-04,0,12.91,88.09,1.23,2.17,4742.0,0.177
26.6654,83.596,2018-07-28,0,29.66,80.94,1.47,15.48,82.0,0.793
27.9083,88.9133,2017-07-23,0,7.19,83.35,2.5,5.08,5418.0,0.169
26.4253,85.2702,2020-09-10,0,29.98,80.12,0.99,4.68,65.0,0.843
28.6134,89.2039,2016-11-09,0,-1.03,30.9,1.31,0.0,4650.0,0.391
29.9576,86.2551,2015-09-14,0,3.61,62.41,2.74,0.76,5798.0,0.297
26.8852,82.497,2012-12-07,0,13.12,66.12,1.72,0.0,97.0,0.511
29.2454,83.751,2022-02-11,0,-22.75,63.91,2.53,0.16,5778.0,0.035
26.8966,86.5634,2024-06-26,0,24.53,93.32,1.51,56.9,676.0,0.206
27.0121,81.4169,2017-06-10,0,36.2,32.43,0.88,0.0,119.0,4.059
29.8362,81.187,2019-01-22,0,-10.39,95.91,3.68,6.21,4225.0,0.011
26.9962,85.3774,2016-05-12,0,30.25,52.89,0.92,7.04,99.0,2.028
26.8814,82.576,2020-08-22,0,,,,,93.0,
30.4325,82.6113,2014-03-17,0,-10.18,80.83,3.66,1.03,5216.0,0.054
29.2166,80.5921,2012-08-15,0,25.89,83.6,0.83,3.4,2144.0,0.548
29.7079,85.4216,2018-11-27,0,-7.7,35.9,1.97,0.0,5632.0,0.219
27.6945,88.1433,2024-06-11,0,11.92,88.58,1.68,12.79,7561.0,0.159
28.2348,83.5531,2013-06-08,0,22.45,85.02,1.81,24.84,1756.0,0.407
26.6583,82.2259,2024-01-01,0,14.56,56.94,1.59,0.0,94.0,0.714
29.7789,87.6904,2020-04-09,0,-6.78,48.44,3.58,0.38,4730.0,0.19
26.7586,86.7152,2014-10-06,0,23.71,78.46,1.09,0.13,151.0,0.632
29.5177,87.6169,2014-03-15,0,-4.36,31.6,1.22,0.0,4769.0,0.302
29.5545,86.6435,2023-10-27,0,-2.92,51.36,1.72,0.0,5004.0,0.24
29.4148,89.077,2023-12-18,0,-7.55,30.43,3.39,0.0,3856.0,0.241
27.5979,83.7383,2019-05-17,0,32.84,31.43,3.64,1.27,147.0,3.418
29.4833,82.787,2016-02-21,0,-3.86,54.84,1.49,0.0,3592.0,0.207
30.2784,83.2444,2020-03-05,0,-19.01,94.45,2.08,0.33,4700.0,0.008
26.4228,80.2078,2013-06-10,0,37.34,42.36,2.03,1.98,128.0,3.684
29.6669,85.0784,2012-08-01,0,10.5,65.13,1.3,1.86,4808.0,0.443
28.2244,83.928,2024-12-16,0,14.08,55.33,1.03,0.0,797.0,0.718
27.1048,84.4459,2018-09-12,0,27.94,88.42,2.54,21.57,86.0,0.436
27.4436,82.0159,2019-07-07,0,32.78,66.46,1.17,12.18,112.0,1.666
27.4279,88.433,2015-08-05,0,11.49,94.85,1.97,10.68,2610.0,0.07
29.3509,85.3056,2024-05-19,0,2.54,61.77,2.82,0.93,4650.0,0.28
27.2336,85.938,2013-11-09,0,19.16,63.91,1.12,0.0,817.0,0.801
